food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Hot tea (Garam Chai),Beverage,Breakfast,,,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0,676.75,303.5,34.5,0,29.9,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0,0,0,0.09,0,0.05,0,0,0,0,1.8,0.01,0.03,0.02,0.09,0.01,0.51,1.8,0.5
Instant coffee,Beverage,Breakfast,,,tea cup,439.95,104.2,16.44,2.88,3.36,16.27,0,2030.25,910.5,103.5,0,93.9,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0,0.07,0,0.29,0,0.17,0,0,0.13,0,5.6,0.02,0.09,0.8,0.25,0.03,3.49,5.6,1.51
Espresso coffee,Beverage,Breakfast,,,tea cup,343.94,81.7,10.49,2.77,3.39,10.36,0,2047.3,919.55,104.95,0,92.1,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0,0.05,0,0.3,0,0.17,0,0,0.09,0,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51
Iced tea,Beverage,Breakfast,,,tall glass,141.09,33.1,8.64,0.09,0.04,8.64,0,17.5,0,17.5,0,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0,0,0,0.03,0,0,0,0,0.01,0,1.28,0.01,0,0.02,0.02,0.01,0.02,1.28,5.95
Raw mango drink (Aam panna),Beverage,Breakfast,,,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,0,19,8.95,11.41,214.33,84.45,0.36,0.07,0.13,0.01,0.14,0.03,0.08,0,0.46,3.92,0,9.25,0,14.05,0.01,0.01,0.14,0.07,0.07,0.73,14.05,45.3
Fruit Punch (with fresh juices),Beverage,Breakfast,,,tall glass,837.66,196.6,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,0,27.59,55.75,17.4,14.33,181.99,0.56,0.05,0.17,0,0.69,0.02,0.12,0,0.25,0.27,0,3.06,0,24.57,0.09,0.02,0.22,0.24,0.08,0.83,24.57,41.44
Fruit Punch (with squashes),Beverage,Breakfast,,,tall glass,493.91,116.3,30.12,0.36,0.08,29.58,0.85,26.3,8.2,35.57,0,16.6,46.59,9.48,11.35,83.72,0.31,0.04,0.18,0,0.41,0.01,0.06,0,0.14,0.27,0,3.28,0,9.13,0.02,0.01,0.09,0.08,0.04,0.39,9.13,15.08
Lemonade,Beverage,Breakfast,,,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0,0.01,0.01,0.04,0,0,0.03,0,1.64,0,2.11,0,0,0.02,0.02,0.01,0.02,2.11,5.27
Lem-o-gin,Beverage,Breakfast,,,glass,326.9,76.76,19.81,0.29,0.1,19.21,0.46,33.58,5.23,47.1,0,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0,0.3,0.01,0.07,0,0.03,0.34,0,3.56,0,2.92,0.01,0.01,0.05,0.04,0.02,0.1,2.92,5.68
Cumin infused water (Jeere/Zeere ka pani),Beverage,Breakfast,,,glass,129.54,30.8,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0,0.05,1.94,0,5.99,0,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61
Coco pine cooler,Beverage,Breakfast,,,tall glass,598.48,141.54,24.71,2.4,4.32,23.87,1.11,2711.24,1076.01,179.36,14.7,76.98,58.21,28.49,100.25,288.06,0.54,0.06,1.32,0,0.58,0.02,0.3,45.5,0.29,0.29,0,3.65,0,12.64,0.11,0.19,0.24,0.62,0.08,1.26,12.64,10.67
Summer cooler,Beverage,Breakfast,,,tall glass,471,110.95,26.87,1.85,0.18,25.78,0.97,52.99,9.27,83.33,0,40.22,56.67,37.71,7.78,460.35,1.37,0.04,0.83,0,0.78,0.02,0.21,0,0.76,0.69,0,11.43,0,63.89,0.17,0.06,0.53,0.61,0.14,2.25,63.89,103.5
Hot cocoa,Beverage,Breakfast,,,cup,722.43,172.09,17.64,6.42,8.72,17.2,0,5256.6,2401.2,266.4,0,217.1,193.69,30.66,46.23,252.4,0.6,0.18,1.71,0.01,0.02,0,0.81,0,0.42,0,0,0.05,0,13.79,0.06,0.2,0.19,0.61,0.07,3.56,13.79,3.62
Cold coffee with ice cream,Beverage,Breakfast,,,tall glass,864.12,204.56,33.9,4.73,6.36,33.71,0.02,3871.2,1712.4,204,3.53,160.68,135.61,21.88,41.74,272.16,0.37,0.09,1.53,0,0.08,0,0.49,10.92,0.32,0,0,0.13,0,9.49,0.05,0.17,0.86,0.53,0.05,4.65,9.49,2.53
